"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Medeiros P.A.D.L.; Silva G.V.S.D.; Fernandes F.R.D.S.; Sánchez-Gendriz I.; Lins H.W.C.; Barros D.M.D.S.; Nagem D.A.P.; Valentim R.A.D.M.","Medeiros, Paulo Augusto de Lima (57304175100); Silva, Gabriel Vinícius Souza da (57215429087); Fernandes, Felipe Ricardo dos Santos (57208327846); Sánchez-Gendriz, Ignacio (56495540200); Lins, Hertz Wilton Castro (57222580164); Barros, Daniele Montenegro da Silva (57216405721); Nagem, Danilo Alves Pinto (56966771800); Valentim, Ricardo Alexsandro de Medeiros (35606294400)","57304175100; 57215429087; 57208327846; 56495540200; 57222580164; 57216405721; 56966771800; 35606294400","Efficient machine learning approach for volunteer eye-blink detection in real-time using webcam","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117617175&doi=10.1016%2fj.eswa.2021.116073&partnerID=40&md5=1bbe0537b26640217620552244ee7e9d","2-s2.0-85117617175"
"Dantas Silva F.S.; Lima M.P.S.; Corujo D.; Venâncio Neto A.J.; Esposito F.","Dantas Silva, Felipe S. (56393770300); Lima, Mathews P.S. (57217497936); Corujo, Daniel (23008345900); Venâncio Neto, Augusto J. (57217029256); Esposito, Flavio (23008401900)","56393770300; 57217497936; 23008345900; 57217029256; 23008401900","A Comprehensive Step-Wise Survey of Multiple Attribute Decision-Making Mobility Approaches","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200270353&doi=10.1109%2fACCESS.2024.3436074&partnerID=40&md5=98542b36333ac791d392c8dc5c341c4d","2-s2.0-85200270353"
"De Sousa T.F.B.; Fernandes M.A.C.","De Sousa, Tiago F. B. (56258397000); Fernandes, Marcelo A. C. (7202947679)","56258397000; 7202947679","Butterfly neural filter applied to beamforming","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070296822&doi=10.1109%2fACCESS.2019.2929590&partnerID=40&md5=408a2114c1cbf02cb90b3eb5f1c93615","2-s2.0-85070296822"
"Fairhurst M.; Li C.; Da Costa-Abreu M.","Fairhurst, Michael (7007162548); Li, Cheng (56438251200); Da Costa-Abreu, Márjory (14038905200)","7007162548; 56438251200; 14038905200","Predictive biometrics: A review and analysis of predicting personal characteristics from biometric data","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034641662&doi=10.1049%2fiet-bmt.2016.0169&partnerID=40&md5=25ede9d35755d3a919a6d50faa59e4d0","2-s2.0-85034641662"
"Delicato F.C.; Pires P.F.; Batista T.","Delicato, Flávia C. (55887461400); Pires, Paulo F. (55595376300); Batista, Thais (36812228000)","55887461400; 55595376300; 36812228000","The activity of resource allocation","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044835834&doi=10.1007%2f978-3-319-54247-8_5&partnerID=40&md5=db0d31710fc2e161b17c73877067170a","2-s2.0-85044835834"
"Silva S.N.; da Silva L.M.D.; Dias L.A.; Fernandes M.A.C.","Silva, Sérgio N. (56402497700); da Silva, Lucileide M. D. (57205121703); Dias, Leonardo A. (57216084309); Fernandes, Marcelo A. C. (7202947679)","56402497700; 57205121703; 57216084309; 7202947679","Prediction Techniques on FPGA for Latency Reduction on Tactile Internet","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129687381&doi=10.3390%2fs22093556&partnerID=40&md5=857e32c0f50c95ceeab7b559c65f2606","2-s2.0-85129687381"
"Siljak H.; Nardelli P.H.J.; Moioli R.C.","Siljak, Harun (37097991800); Nardelli, Pedro H. J. (24781106100); Moioli, Renan Cipriano (13006817400)","37097991800; 24781106100; 13006817400","Cyborg Insects: Bug or a Feature?","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130073636&doi=10.1109%2fACCESS.2022.3172980&partnerID=40&md5=4088a162a94c9740deb371778df332f9","2-s2.0-85130073636"
"Moreira de Lima J.M.; Ugulino de Araújo F.M.","Moreira de Lima, Jean Mário (57223363552); Ugulino de Araújo, Fábio Meneghetti (35316777100)","57223363552; 35316777100","Industrial semi-supervised dynamic soft-sensor modeling approach based on deep relevant representation learning","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105740934&doi=10.3390%2fs21103430&partnerID=40&md5=254b27b3fec7c7c0cc1ecdca660d44c5","2-s2.0-85105740934"
"Santo Y.; Immich R.; Dalmazo B.L.; Riker A.","Santo, Yuri (58089286900); Immich, Roger (23990618900); Dalmazo, Bruno L. (36547656800); Riker, André (54896460500)","58089286900; 23990618900; 36547656800; 54896460500","Fault Detection on the Edge and Adaptive Communication for State of Alert in Industrial Internet of Things","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152306885&doi=10.3390%2fs23073544&partnerID=40&md5=4b3a6f2e8d5ecaea747fdb2f5e4d4ae0","2-s2.0-85152306885"
"Torres W.; Santos L.; Melo G.; Oliveira A.; Nascimento P.; Carvalho G.; Neves T.; Martins A.; Araújo Í.","Torres, Winnie (57194784138); Santos, Lilian (58853796700); Melo, Gustavo (57224359492); Oliveira, Andressa (57215527633); Nascimento, Pedro (57218285725); Carvalho, Geovane (59004786600); Neves, Tácito (55769311100); Martins, Allan (57985251100); Araújo, Ícaro (57209105086)","57194784138; 58853796700; 57224359492; 57215527633; 57218285725; 59004786600; 55769311100; 57985251100; 57209105086","A Framework for Real-Time Gestural Recognition and Augmented Reality for Industrial Applications","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191460513&doi=10.3390%2fs24082407&partnerID=40&md5=c8c61e97e2764722eedae35db848a198","2-s2.0-85191460513"
